E1,E2,F,error_pos,error_neg
0.5,0.600000024,0.044999987,0.007999998,0.007999998
0.600000024,0.699999988,0.044000015,0.008000002,0.008000002
0.699999988,0.800000012,0.036999993,0.007999998,0.007999998
0.800000012,0.899999976,0.037000012,0.008000002,0.008000002
0.899999976,1,0.03199999,0.007999998,0.007999998
1,1.200000048,0.026999995,0.004999999,0.004999999
1.200000048,1.5,0.026666673,0.004000001,0.004000001
1.5,2,0.016799999,0.0026,0.0026
2,3,0.0042,0.0009,0.0009
3,10,0.000614286,0.000128571,0.000128571
